Archivo Origen;ID Interseccion;Direccion;Zona;Version;Fecha;PS;Ciclo;Grupo de Senales;TVI;TVF;TFD;RES;Pagina
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;2B;89;33;44;36;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;5;41;81;40;35;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;94;39;85;46;41;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;22;42;73;31;24;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;294;89;32;43;36;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;31;44;70;26;19;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;9;100;35;92;33;41;34;16
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;1A;97;47;50;45;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;1B;97;47;50;42;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;2A;97;47;50;45;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;2B;97;47;50;42;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;5;55;89;34;29;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;94;53;93;40;35;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;22;56;81;25;18;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;294;97;46;49;42;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;31;58;78;20;13;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;10;100;35;0;47;47;40;17
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;1A;20;79;59;54;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;1B;20;79;59;51;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;2A;20;79;59;54;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;2B;20;79;59;51;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;5;87;12;45;40;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;94;85;16;51;46;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;22;88;4;36;29;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;294;20;78;58;51;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;31;90;1;31;24;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;11;120;35;23;79;56;49;18
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;1A;58;0;62;57;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;1B;58;0;62;54;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;2A;58;0;62;57;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;2B;58;0;62;54;19
