size_in_MB,id,name,creation,last_modification,type_of_file,date,mes,Estado,num
"0,63",1erl3mKa4Ct_Q23mTbW3dfsh7J_mXcwO6,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250512_250512.csv,2026-03-03T16:28:28.926Z,2025-05-13T05:14:16.747Z,text/csv,2025-05-12,2505,Procesado,290298
"0,63",1uNJFrn1l014jzj9nD9vOS_5zfP8HCeiF,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250511_250511.csv,2026-03-03T16:28:31.489Z,2025-05-12T05:13:39.485Z,text/csv,2025-05-11,2505,Procesado,289499
"0,63",1kn0hU_TSRfVrQdMH2yxIfbzrW2K4HAzg,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250510_250510.csv,2026-03-03T16:29:01.408Z,2025-05-11T05:14:25.906Z,text/csv,2025-05-10,2505,Procesado,287941
"0,63",14Tgdk5Yh1hZ4QA8rNDtcGM1gxyV1kbrh,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250509_250509.csv,2026-03-03T16:28:07.772Z,2025-05-10T05:15:18.213Z,text/csv,2025-05-09,2505,Procesado,288235
"0,63",1Y_v2pe4sUwFIj13zCxfhWypft8WMSd5b,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250508_250508.csv,2026-03-03T16:29:05.326Z,2025-05-09T05:14:58.969Z,text/csv,2025-05-08,2505,Procesado,291674
"0,63",1sgDpJ1Exw-X2gMAgQkUEctlvpMKyDJZ5,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250507_250507.csv,2026-03-03T16:27:51.637Z,2025-05-08T05:13:54.574Z,text/csv,2025-05-07,2505,Procesado,294212
"0,63",1BR-t7NnzfdU1COCAW44jdkTIDppFQiaH,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250506_250506.csv,2026-03-03T16:29:43.276Z,2025-05-07T05:14:18.614Z,text/csv,2025-05-06,2505,Procesado,298873
"0,63",1by9Tb5cEI6Ejs3PVS7JPYCzVnOmxnqiP,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250505_250505.csv,2026-03-03T16:29:36.188Z,2025-05-06T05:14:44.347Z,text/csv,2025-05-05,2505,Procesado,300101
"0,63",1kZUqKLgW-xkSxoPEv63EhjfBnuoouZfa,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250504_250504.csv,2026-03-03T16:29:10.777Z,2025-05-05T05:14:04.461Z,text/csv,2025-05-04,2505,Procesado,298500
"0,63",1qv2-uIvbZKLqwSF2Vi-PSN_yIkfWuuGC,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250503_250503.csv,2026-03-03T16:27:56.346Z,2025-05-04T05:14:55.711Z,text/csv,2025-05-03,2505,Procesado,294627
"0,63",1uTiB1wRWzfT-y0cyVts4to5NqdGOh8tL,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250502_250502.csv,2026-03-03T16:29:43.627Z,2025-05-03T05:14:58.523Z,text/csv,2025-05-02,2505,Procesado,296118
"0,64",1Mx5HlkHc2BM_VpearmABPWF6xvQu2s3z,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250501_250501.csv,2026-03-03T16:28:51.768Z,2025-05-02T05:14:38.095Z,text/csv,2025-05-01,2505,Procesado,294379
"0,64",1ql_ej0fEkg7LmHSM0qihempFj_L--3un,Detektor-Messquerschnitt-Verkehrsmesswerte - Verarbeitet-250430_250430.csv,2026-03-03T16:29:47.947Z,2025-05-01T05:15:15.728Z,text/csv,2025-04-30,2504,Procesado,297744
